Name,RequiredServices,CanPauseAndContinue,CanShutdown,CanStop,DisplayName,DependentServices,MachineName,ServiceName,ServicesDependedOn,ServiceHandle,Status,ServiceType,Site,Container
AdobeARMservice,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Adobe Acrobat Update Service,System.ServiceProcess.ServiceController[],.,AdobeARMservice,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
AdobeFlashPlayerUpdateSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Adobe Flash Player Update Service,System.ServiceProcess.ServiceController[],.,AdobeFlashPlayerUpdateSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
AeLookupSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Application Experience,System.ServiceProcess.ServiceController[],.,AeLookupSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
ALG,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Application Layer Gateway Service,System.ServiceProcess.ServiceController[],.,ALG,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
AppHostSvc,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Application Host Helper Service,System.ServiceProcess.ServiceController[],.,AppHostSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
AppIDSvc,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Application Identity,System.ServiceProcess.ServiceController[],.,AppIDSvc,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
Appinfo,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Application Information,System.ServiceProcess.ServiceController[],.,Appinfo,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
AppMgmt,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Application Management,System.ServiceProcess.ServiceController[],.,AppMgmt,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
aspnet_state,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,ASP.NET State Service,System.ServiceProcess.ServiceController[],.,aspnet_state,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
AudioEndpointBuilder,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Windows Audio Endpoint Builder,System.ServiceProcess.ServiceController[],.,AudioEndpointBuilder,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
AudioSrv,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Windows Audio,System.ServiceProcess.ServiceController[],.,AudioSrv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
AxInstSV,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,ActiveX Installer (AxInstSV),System.ServiceProcess.ServiceController[],.,AxInstSV,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
BDESVC,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,BitLocker Drive Encryption Service,System.ServiceProcess.ServiceController[],.,BDESVC,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
BFE,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Base Filtering Engine,System.ServiceProcess.ServiceController[],.,BFE,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
BITS,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Background Intelligent Transfer Service,System.ServiceProcess.ServiceController[],.,BITS,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
BotkindSyncService,System.ServiceProcess.ServiceController[],FALSE,FALSE,TRUE,Botkind Service,System.ServiceProcess.ServiceController[],.,BotkindSyncService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
BoxSyncUpdateService,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Box Sync Update Service,System.ServiceProcess.ServiceController[],.,BoxSyncUpdateService,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
Browser,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Computer Browser,System.ServiceProcess.ServiceController[],.,Browser,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32ShareProcess,,
bthserv,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Bluetooth Support Service,System.ServiceProcess.ServiceController[],.,bthserv,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32ShareProcess,,
CcmExec,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,SMS Agent Host,System.ServiceProcess.ServiceController[],.,CcmExec,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
CertPropSvc,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Certificate Propagation,System.ServiceProcess.ServiceController[],.,CertPropSvc,System.ServiceProcess.ServiceController[],,Running,Win32ShareProcess,,
Cirrato,System.ServiceProcess.ServiceController[],TRUE,TRUE,TRUE,Cirrato Client,System.ServiceProcess.ServiceController[],.,Cirrato,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
Cirrato Client Communication .Net 4.5,System.ServiceProcess.ServiceController[],FALSE,TRUE,TRUE,Cirrato Client Communication,System.ServiceProcess.ServiceController[],.,Cirrato Client Communication .Net 4.5,System.ServiceProcess.ServiceController[],SafeServiceHandle,Running,Win32OwnProcess,,
clr_optimization_v2.0.50727_32,System.ServiceProcess.ServiceController[],FALSE,FALSE,FALSE,Microsoft .NET Framework NGEN v2.0.50727_X86,System.ServiceProcess.ServiceController[],.,clr_optimization_v2.0.50727_32,System.ServiceProcess.ServiceController[],SafeServiceHandle,Stopped,Win32OwnProcess,,
